Name,Genre,Platform,Publisher,Global_Sales
Asteroids,Shooter,2600,Atari,4.31
Missile Command,Shooter,2600,Atari,2.76
Defender,Misc,2600,Atari,1.05
Freeway,Action,2600,Activision,0.34
Ice Hockey,Sports,2600,Activision,0.49
Kaboom!,Misc,2600,Activision,1.15
Boxing,Fighting,2600,Activision,0.77
Bridge,Misc,2600,Activision,0.27
Checkers,Misc,2600,Atari,0.24
Berzerk,Shooter,2600,Atari,0.73
River Raid,Shooter,2600,Activision,1.6
RealSports Football,Sports,2600,Atari,0.26
Demon Attack,Shooter,2600,Imagic,2.13
Fireball,Action,2600,Starpath Corp.,0.33
Raiders of the Lost Ark,Action,2600,Atari,0.5
Custer's Revenge,Action,2600,Mystique,0.82
International Soccer,Sports,2600,Mattel Interactive,0.19
Centipede,Shooter,2600,Atari,1.36
Fast Food,Action,2600,Unknown,0.29
Donkey Kong Junior,Platform,2600,Atari,0.97
BurgerTime,Puzzle,2600,Mattel Interactive,0.59
Mouse Trap,Action,2600,Coleco,0.4
Smurf: Rescue In Gargamel's Castle,Action,2600,Coleco,0.59
RealSports Volleyball,Sports,2600,Atari,0.13
Grand Prix,Racing,2600,Activision,0.48
E.T.: The Extra Terrestrial,Action,2600,Atari,1.97
Ms. Pac-Man,Puzzle,2600,Atari,1.65
Spider-Man,Action,2600,Parker Bros.,0.93
Astroblast,Action,2600,Mattel Interactive,0.31
Alien,Action,2600,20th Century Fox Video Games,0.79
Barnstorming,Action,2600,Activision,0.43
Air Raid,Action,2600,Men-A-Vision,0.77
Armor Ambush,Action,2600,Mattel Interactive,0.17
Laser Blast,Action,2600,Activision,0.39
Donkey Kong,Platform,2600,Coleco,1.46
Frogs And Flies,Action,2600,Mattel Interactive,0.36
Dragonfire,Action,2600,Imagic,0.37
Cosmic Ark,Shooter,2600,Imagic,1.05
Deadly Duck,Shooter,2600,20th Century Fox Video Games,0.22
Phoenix,Simulation,2600,Atari,0.45
Adventures of Tron,Action,2600,Mattel Interactive,0.67
Airlock,Action,2600,Data Age,0.39
Reactor,Action,2600,Parker Bros.,0.22
RealSports Baseball,Sports,2600,Atari,0.21
Dark Cavern,Shooter,2600,Mattel Interactive,0.24
Crazy Climber,Action,2600,Atari,0.22
Fantastic Voyage,Action,2600,20th Century Fox Video Games,0.34
Carnival,Shooter,2600,Coleco,0.34
Megamania,Shooter,2600,Activision,1.1
Jawbreaker,Action,2600,Tigervision,0.45
King Kong,Action,2600,Tigervision,0.69
Front Line,Action,2600,Taito,0.24
Atlantis,Shooter,2600,Imagic,1.27
Pitfall!,Platform,2600,Activision,4.5
Frogger,Action,2600,Parker Bros.,2.2
Mountain King,Action,2600,CBS Electronics,0.31
The Activision Decathlon,Sports,2600,Activision,0.55
Pac-Man,Puzzle,2600,Atari,7.81
Jungle Hunt,Platform,2600,Atari,1.1
Frankenstein's Monster,Action,2600,Data Age,0.32
Enduro,Misc,2600,Quelle,0.87
Pressure Cooker,Action,2600,Activision,0.15
Krull,Action,2600,Atari,0.14
Congo Bongo,Action,2600,Sega,0.4
Chopper Command,Shooter,2600,Activision,0.5
Moon Patrol,Shooter,2600,Atari,1.12
Bump 'n' Jump,Racing,2600,Mattel Interactive,0.39
Action Force,Action,2600,CPG Products,0.54
Dig Dug,Puzzle,2600,Atari,1.64
Alien's Return,Action,2600,ITT Family Games,0.34
Gauntlet,Action,2600,Answer Software,0.5
