NA_Share,EU_Share,JP_Share
92.81,6.03,0.0
92.75,6.16,0.0
94.29,4.76,0.0
94.12,5.88,0.0
93.88,6.12,0.0
93.04,6.09,0.0
93.51,5.19,0.0
92.59,7.41,0.0
91.67,4.17,0.0
93.15,5.48,0.0
93.12,5.62,0.0
92.31,3.85,0.0
93.43,5.63,0.0
90.91,6.06,0.0
92.0,6.0,0.0
92.68,6.1,0.0
94.74,5.26,0.0
92.65,5.88,0.0
93.1,6.9,0.0
92.78,5.15,0.0
93.22,5.08,0.0
95.0,5.0,0.0
93.22,5.08,0.0
92.31,7.69,0.0
93.75,6.25,0.0
93.4,5.58,0.0
93.33,6.06,0.0
93.55,5.38,0.0
93.55,6.45,0.0
93.67,5.06,0.0
93.02,4.65,0.0
93.51,5.19,0.0
88.24,5.88,0.0
94.87,5.13,0.0
93.15,5.48,0.0
91.67,5.56,0.0
94.59,5.41,0.0
94.29,4.76,0.0
95.45,4.55,0.0
93.33,4.44,0.0
94.03,4.48,0.0
92.31,5.13,0.0
95.45,4.55,0.0
95.24,4.76,0.0
91.67,4.17,0.0
95.45,4.55,0.0
94.12,5.88,0.0
94.12,5.88,0.0
93.64,5.45,0.0
93.33,6.67,0.0
94.2,5.8,0.0
91.67,4.17,0.0
92.91,6.3,0.0
93.56,5.33,0.0
93.64,5.45,0.0
93.55,6.45,0.0
94.55,5.45,0.0
93.21,5.76,0.0
93.64,5.45,0.0
93.75,6.25,0.0
93.1,5.75,0.0
93.33,6.67,0.0
92.86,7.14,0.0
92.5,5.0,0.0
94.0,6.0,0.0
93.75,5.36,0.0
94.87,5.13,0.0
92.59,5.56,0.0
92.68,6.1,0.0
94.12,5.88,0.0
92.0,6.0,0.0
94.12,5.88,0.0
92.0,6.0,0.0
92.59,5.56,0.0
93.52,5.56,0.0
93.08,5.66,0.0
92.11,5.26,0.0
92.86,7.14,0.0
93.22,5.93,0.0
96.3,7.41,0.0
93.51,6.49,0.0
93.94,6.06,0.0
95.45,4.55,0.0
92.0,4.0,0.0
93.06,5.56,0.0
88.24,5.88,0.0
93.59,5.13,0.0
93.55,4.84,0.0
94.83,5.17,0.0
92.06,6.35,0.0
93.55,4.84,0.0
93.51,5.19,0.0
93.94,6.06,0.0
22.81,3.12,73.44
92.31,6.41,0.0
94.12,5.88,0.0
22.37,5.26,71.49
94.0,6.0,0.0
46.36,10.91,40.91
93.13,5.34,0.0
29.73,6.31,63.06
20.35,4.42,74.34
95.0,5.0,0.0
0.47,0.0,99.53
93.48,6.52,0.0
93.1,6.9,0.0
88.24,5.88,0.0
93.75,6.25,0.0
53.54,12.6,32.28
22.12,5.07,71.89
0.0,0.0,100.0
0.0,0.0,100.0
11.84,3.95,83.55
95.13,2.23,0.99
96.3,3.7,0.0
49.04,11.54,37.74
0.0,0.0,100.0
0.0,0.0,100.0
22.13,6.56,69.67
43.24,10.27,44.86
51.22,12.2,34.15
30.42,6.98,61.35
0.0,0.0,100.0
46.86,10.86,40.57
0.0,0.0,100.0
0.0,0.0,100.0
72.27,8.9,16.92
0.0,100.0,0.0
55.3,12.12,30.3
17.48,0.0,82.52
93.33,6.67,0.0
9.18,11.73,78.06
65.0,14.0,21.0
30.67,6.67,61.33
42.39,9.78,46.74
0.0,0.0,100.0
19.44,0.0,20.63
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
94.59,5.41,0.0
0.0,0.0,100.0
0.0,0.0,100.0
33.33,6.25,59.38
57.65,18.88,20.92
19.85,5.88,73.53
0.0,0.0,100.0
45.12,15.85,37.2
43.9,4.88,50.41
96.55,6.9,0.0
62.34,14.61,20.78
6.82,0.0,93.18
57.45,14.29,25.96
62.28,14.04,21.93
0.0,0.0,100.0
30.11,6.82,61.93
48.72,11.36,38.1
32.08,7.5,59.17
6.51,1.4,92.09
92.31,3.85,0.0
55.56,9.88,33.33
5.86,0.0,94.14
48.39,6.45,45.16
50.0,11.42,36.76
67.22,15.56,14.9
38.1,0.0,61.9
92.31,6.15,0.0
93.33,4.44,0.0
87.5,0.0,0.0
8.45,0.0,91.55
93.62,4.26,0.0
100.0,0.0,0.0
0.0,0.0,100.0
57.34,16.08,24.48
68.69,17.76,8.88
53.23,12.37,32.44
72.25,15.82,9.38
8.47,0.0,91.53
52.48,13.22,32.23
0.0,0.0,100.0
61.59,9.93,27.81
91.67,4.17,0.0
2.58,0.0,97.42
55.21,19.91,22.22
0.0,66.67,0.0
0.0,0.0,100.0
92.16,5.88,0.0
37.82,8.97,51.92
37.69,15.08,45.23
100.0,0.0,0.0
59.7,14.94,23.04
76.67,7.47,13.95
40.82,17.98,37.45
39.15,15.57,43.4
47.06,8.24,43.53
49.48,19.59,28.35
0.0,0.0,100.0
95.74,4.26,0.0
40.99,16.77,40.37
33.33,32.5,30.0
81.06,10.55,7.43
0.0,0.0,100.0
93.33,6.67,0.0
0.0,0.0,100.0
54.49,17.96,25.15
78.03,11.21,9.42
50.73,20.23,17.3
54.02,12.37,31.34
58.12,8.55,33.33
0.0,0.0,100.0
57.14,11.76,29.41
44.35,17.39,35.65
71.54,21.15,4.23
2.56,0.0,97.12
42.95,10.9,44.23
18.92,33.78,43.92
62.01,18.2,17.18
48.07,17.89,31.23
0.0,0.0,99.29
40.35,14.91,42.11
0.0,0.0,100.0
64.24,23.03,9.09
50.79,7.94,39.68
0.0,0.0,100.0
41.0,10.0,47.0
0.0,0.0,100.0
54.84,9.68,34.41
0.0,0.0,100.0
42.37,11.86,44.07
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
0.0,0.0,100.0
46.97,13.64,37.88
0.0,0.0,100.0
0.0,0.0,100.0
75.54,12.23,10.79
